Inference for Stan model: anon_model_bc96f3f32db6b63e3e6830908631d52a.
1 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=1000.

           mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
X[144,0] 1208.3  4.3e-3   0.13 1208.0 1208.2 1208.3 1208.4 1208.6   1000    1.0
X[145,0] 1216.6  4.7e-3   0.15 1216.3 1216.5 1216.6 1216.7 1216.9   1000    1.0
X[146,0] 1225.0  4.3e-3   0.14 1224.7 1224.9 1225.0 1225.0 1225.3   1000    1.0
X[147,0] 1233.3  4.4e-3   0.14 1233.0 1233.2 1233.3 1233.4 1233.5   1000    1.0
X[148,0] 1241.6  4.1e-3   0.13 1241.4 1241.6 1241.6 1241.7 1241.9   1000    1.0
X[149,0] 1249.9  4.3e-3   0.14 1249.7 1249.9 1249.9 1250.0 1250.2   1000    1.0
X[150,0] 1258.3  4.4e-3   0.14 1258.0 1258.2 1258.3 1258.4 1258.5   1000    1.0
X[151,0] 1266.6  4.2e-3   0.13 1266.4 1266.5 1266.6 1266.7 1266.9   1000    1.0
X[152,0] 1275.0  3.9e-3   0.12 1274.7 1274.9 1275.0 1275.0 1275.2   1000    1.0
X[153,0] 1283.3  4.8e-3   0.15 1282.9 1283.2 1283.3 1283.3 1283.6   1000    1.0
X[154,0] 1291.6  4.5e-3   0.14 1291.3 1291.6 1291.6 1291.7 1291.9   1000    1.0
X[155,0] 1300.0  4.0e-3   0.13 1299.7 1299.9 1300.0 1300.0 1300.2   1000    1.0
X[156,0] 1308.3  4.0e-3   0.13 1308.0 1308.2 1308.3 1308.3 1308.5   1000    1.0
X[157,0] 1316.6  4.0e-3   0.13 1316.3 1316.5 1316.6 1316.7 1316.9   1000    1.0
X[158,0] 1325.0  3.9e-3   0.12 1324.7 1324.9 1325.0 1325.0 1325.2   1000    1.0
X[159,0] 1333.3  4.2e-3   0.13 1333.0 1333.2 1333.3 1333.3 1333.6   1000    1.0
X[160,0] 1341.6  3.8e-3   0.12 1341.4 1341.5 1341.6 1341.7 1341.8   1000    1.0
X[161,0] 1350.0  4.4e-3   0.14 1349.7 1349.9 1350.0 1350.0 1350.2   1000    1.0
X[162,0] 1358.3  4.1e-3   0.13 1358.0 1358.2 1358.3 1358.3 1358.6   1000    1.0
X[163,0] 1366.6  4.0e-3   0.13 1366.4 1366.6 1366.6 1366.7 1366.9   1000    1.0
X[164,0] 1375.0  4.4e-3   0.14 1374.7 1374.9 1375.0 1375.0 1375.3   1000    1.0
X[165,0] 1383.3  4.1e-3   0.13 1383.0 1383.2 1383.3 1383.4 1383.6   1000    1.0
X[166,0] 1391.6  4.3e-3   0.14 1391.4 1391.6 1391.6 1391.7 1391.9   1000    1.0
X[167,0] 1400.0  4.3e-3   0.14 1399.7 1399.9 1400.0 1400.0 1400.2   1000    1.0
X[168,0] 1408.3  4.1e-3   0.13 1408.0 1408.2 1408.3 1408.4 1408.6   1000    1.0
X[169,0] 1416.6  3.9e-3   0.12 1416.4 1416.6 1416.6 1416.7 1416.9   1000    1.0
X[170,0] 1424.9  4.3e-3   0.14 1424.7 1424.9 1424.9 1425.0 1425.2   1000    1.0
X[171,0] 1433.3  4.4e-3   0.14 1433.0 1433.2 1433.3 1433.4 1433.6   1000    1.0
X[172,0] 1441.6  4.4e-3   0.14 1441.4 1441.6 1441.6 1441.7 1441.9   1000    1.0
X[173,0] 1450.0  4.0e-3   0.13 1449.7 1449.9 1450.0 1450.0 1450.2   1000    1.0
X[174,0] 1458.3  4.0e-3   0.13 1458.0 1458.2 1458.3 1458.3 1458.6   1000    1.0
X[175,0] 1466.6  4.1e-3   0.13 1466.4 1466.5 1466.6 1466.7 1466.9   1000    1.0
X[176,0] 1475.0  4.2e-3   0.13 1474.7 1474.9 1475.0 1475.0 1475.3   1000    1.0
X[177,0] 1483.3  4.1e-3   0.13 1483.0 1483.2 1483.3 1483.4 1483.5   1000    1.0
X[178,0] 1491.6  4.4e-3   0.14 1491.3 1491.5 1491.6 1491.7 1491.9   1000    1.0
X[179,0] 1499.9  4.5e-3   0.14 1499.7 1499.9 1499.9 1500.0 1500.3   1000    1.0
X[180,0] 1508.3  4.3e-3   0.14 1508.0 1508.2 1508.3 1508.4 1508.6   1000    1.0
X[181,0] 1516.6  4.4e-3   0.14 1516.3 1516.5 1516.6 1516.7 1516.9   1000    1.0
X[182,0] 1525.0  3.8e-3   0.12 1524.7 1524.9 1525.0 1525.0 1525.2   1000    1.0
